file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,Problem,Package,File,Priority,Line,Description,Rule set,Rule,ClassName,HasBadSmell
C:\Users\Kaveri\Downloads\Assignment 2\super-tokens\supertokens-core\ee\src\test\java\io\supertokens\ee\test\EETest.java,io.supertokens.ee.test.EETest$Anonymous5,anonymous,0,0,0,0,1,1,0,1,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\super-tokens\supertokens-core\ee\src\test\java\io\supertokens\ee\test\EETest.java,io.supertokens.ee.test.EETest$Anonymous4,anonymous,0,0,0,0,1,1,0,0,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,8,-1,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\super-tokens\supertokens-core\src\test\java\io\supertokens\test\totp\TOTPRecipeTest.java,io.supertokens.test.totp.TOTPRecipeTest,class,25,33,8,25,51,1,0,45,153,1.0,0.0,0.0,18,4,17,1,0,0,17,0,0,0,1,0,1,0,0,0,0,0,83,366,18,1,26,6,13,188,137,82,16,73,1,0,1,36,136,1,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\super-tokens\supertokens-core\src\main\java\io\supertokens\webserver\WebserverAPI.java,io.supertokens.webserver.WebserverAPI$APIKeyUnauthorisedException,innerclass,0,0,0,0,1,3,0,0,0,1.0,,,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,6,0,0,0,0,0,0,1,1,0,1,0,0,0,0,12,12,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\super-tokens\supertokens-core\src\main\java\io\supertokens\utils\Utils.java,io.supertokens.utils.Utils$PubPriKey,innerclass,0,0,0,0,3,1,0,1,0,0.0,1.0,1.0,3,0,2,0,0,1,3,0,0,0,2,0,2,0,0,0,0,0,0,16,1,0,0,0,0,2,2,5,1,3,0,0,0,0,9,9,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\super-tokens\supertokens-core\src\main\java\io\supertokens\cronjobs\CronTaskTest.java,io.supertokens.cronjobs.CronTaskTest,class,6,19,13,6,5,2,0,5,4,0.625,0.33333334,0.33333334,4,1,3,1,0,0,3,0,0,0,2,1,0,2,0,0,1,0,0,20,3,0,0,1,0,1,0,2,0,2,1,0,0,0,36,1,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\super-tokens\supertokens-core\src\main\java\io\supertokens\emailpassword\EmailPassword.java,io.supertokens.emailpassword.EmailPassword,class,37,46,9,37,122,1,0,60,253,0.0,0.0,0.0,23,23,22,1,0,0,22,0,0,0,0,0,0,0,0,0,0,0,48,481,31,15,26,23,0,12,14,70,2,64,8,0,2,5,124,1,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\super-tokens\supertokens-core\src\main\java\io\supertokens\inmemorydb\queries\multitenancy\TenantConfigSQLHelper.java,io.supertokens.inmemorydb.queries.multitenancy.TenantConfigSQLHelper,class,10,11,1,10,7,1,0,20,1,0.0,0.0,0.0,2,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,61,2,2,0,0,0,8,11,12,2,13,3,0,1,3,47,1,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\super-tokens\supertokens-core\ee\src\test\java\io\supertokens\ee\test\api\GetLicenseKeyAPITest.java,io.supertokens.ee.test.api.GetLicenseKeyAPITest,class,14,14,0,14,5,1,0,26,10,1.0,0.0,0.0,5,1,5,0,0,0,5,0,0,0,1,0,1,0,0,0,0,0,18,47,0,0,0,0,0,20,10,10,0,10,0,0,0,0,34,1,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\super-tokens\supertokens-core\src\main\java\io\supertokens\multitenancy\exception\CannotModifyBaseConfigException.java,io.supertokens.multitenancy.exception.CannotModifyBaseConfigException,class,0,1,1,0,0,3,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,,,,,,,,,,False
