file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,Problem,Package,File,Priority,Line,Description,Rule set,Rule,ClassName,HasBadSmell
C:\Users\Kaveri\Downloads\Assignment 2\react-native-videos\react-native-video\android\src\main\java\com\brentvatne\exoplayer\ReactExoplayerView.java,com.brentvatne.exoplayer.ReactExoplayerView$Anonymous1,anonymous,2,2,0,2,2,1,0,4,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0,0,0,0,1,0,0,1,0,0,0,20,-1,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\react-native-videos\react-native-video\android\src\main\java\com\brentvatne\exoplayer\ReactExoplayerView.java,com.brentvatne.exoplayer.ReactExoplayerView$Anonymous2,anonymous,1,1,0,1,1,1,0,1,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\react-native-videos\react-native-video\android\src\main\java\com\brentvatne\exoplayer\ReactExoplayerView.java,com.brentvatne.exoplayer.ReactExoplayerView$Anonymous3,anonymous,2,2,0,2,6,1,0,5,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,4,0,0,0,0,2,0,2,1,0,0,0,30,-1,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\react-native-videos\react-native-video\examples\exampletvOS\android\app\src\main\java\com\exampletvos\MainActivity.java,com.exampletvos.MainActivity,class,4,5,1,4,2,2,0,3,1,0.0,0.0,0.0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,1,0,0,0,0,0,0,0,0,40,1,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\react-native-videos\react-native-video\android\src\main\java\com\brentvatne\exoplayer\ReactExoplayerView.java,com.brentvatne.exoplayer.ReactExoplayerView$Anonymous4,anonymous,4,4,0,4,5,1,0,7,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,22,0,0,0,2,1,2,0,2,0,0,1,0,0,0,21,-1,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\react-native-videos\react-native-video\android\src\main\java\com\brentvatne\exoplayer\ReactExoplayerView.java,com.brentvatne.exoplayer.ReactExoplayerView$Anonymous5,anonymous,10,10,0,10,9,1,0,10,0,0.0,,,1,0,1,0,0,0,1,0,0,0,3,0,0,0,0,3,3,0,1,41,2,3,1,1,0,1,4,16,2,15,6,0,0,0,44,-1,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\react-native-videos\react-native-video\android\src\main\java\com\brentvatne\receiver\BecomingNoisyListener.java,com.brentvatne.receiver.BecomingNoisyListener$Anonymous1,anonymous,0,0,0,0,1,1,0,0,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\react-native-videos\react-native-video\android\src\main\java\androidx\media3\exoplayer\smoothstreaming\SsMediaSource.java,androidx.media3.exoplayer.smoothstreaming.SsMediaSource$Factory,innerclass,8,8,0,8,5,1,0,0,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,16,4,0,0,0,0,0,1,0,0,0,0,0,0,0,22,9,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\react-native-videos\react-native-video\android\src\main\java\androidx\media3\exoplayer\dash\DefaultDashChunkSource.java,androidx.media3.exoplayer.dash.DefaultDashChunkSource,class,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\react-native-videos\react-native-video\android\src\main\java\androidx\media3\exoplayer\smoothstreaming\DefaultSsChunkSource.java,androidx.media3.exoplayer.smoothstreaming.DefaultSsChunkSource$Factory,innerclass,7,7,0,7,5,1,0,0,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,16,4,0,0,0,0,0,1,0,0,0,0,0,0,0,22,9,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\react-native-videos\react-native-video\android\src\main\java\com\brentvatne\exoplayer\AudioOutput.java,com.brentvatne.exoplayer.AudioOutput,enum,4,7,3,4,6,1,0,4,0,0.25,0.5,0.5,4,1,3,0,0,1,4,0,0,0,2,0,0,2,0,0,2,0,1,19,4,1,0,0,0,6,0,2,1,2,2,0,0,0,23,1,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\react-native-videos\react-native-video\android\src\main\java\com\brentvatne\exoplayer\ReactExoplayerView.java,com.brentvatne.exoplayer.ReactExoplayerView$RNVLoadControl,innerclass,4,4,0,4,15,2,0,21,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,2,0,2,37,5,0,10,0,0,1,7,11,5,11,2,0,0,0,62,2,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\react-native-videos\react-native-video\android\src\main\java\com\google\ads\interactivemedia\v3\api\AdEvent.java,com.google.ads.interactivemedia.v3.api.AdEvent$AdEventListener,interface,1,1,0,1,1,1,0,0,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\react-native-videos\react-native-video\android\src\main\java\com\brentvatne\exoplayer\ReactExoplayerViewManager.java,com.brentvatne.exoplayer.ReactExoplayerViewManager,class,19,20,1,19,53,2,0,52,814,0.975079,0.0012195122,0.0012195122,41,0,40,0,1,0,41,0,0,0,46,45,0,46,0,0,46,0,1,234,4,1,5,0,0,55,3,69,1,63,1,0,0,0,169,1,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\react-native-videos\react-native-video\android\src\main\java\com\brentvatne\exoplayer\AspectRatioFrameLayout.java,com.brentvatne.exoplayer.AspectRatioFrameLayout,class,4,6,2,4,18,2,0,6,10,0.6666667,0.32142857,0.53571427,8,0,7,0,1,0,8,0,0,0,3,1,0,3,0,0,1,0,1,74,4,0,3,0,7,0,5,19,11,10,2,0,0,0,99,17,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\react-native-videos\react-native-video\android\src\main\java\com\brentvatne\exoplayer\ExoPlayerView.java,com.brentvatne.exoplayer.ExoPlayerView$ComponentListener,innerclass,7,7,0,7,8,1,0,6,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,3,0,1,0,3,1,2,1,1,0,0,0,33,18,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\react-native-videos\react-native-video\android\src\main\java\com\brentvatne\exoplayer\ReactExoplayerConfig.java,com.brentvatne.exoplayer.ReactExoplayerConfig,interface,2,6,4,2,4,1,0,0,6,0.0,0.0,0.0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\react-native-videos\react-native-video\android\src\main\java\com\brentvatne\exoplayer\ReactExoplayerView.java,com.brentvatne.exoplayer.ReactExoplayerView,class,119,127,8,119,434,3,0,342,5396,0.96889436,0.10958904,0.33828005,124,2,71,52,1,0,73,0,0,0,77,6,2,75,0,0,14,0,20,1730,69,18,162,9,7,77,118,355,25,268,6,5,2,16,494,1,8,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\react-native-videos\react-native-video\examples\FabricExample\android\app\src\debug\java\net\video\fabricexample\ReactNativeFlipper.java,net.video.fabricexample.ReactNativeFlipper$Anonymous2$Anonymous3,anonymous,1,1,0,1,1,1,0,1,0,0.0,,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,-1,0,,,,,,,,,,False
C:\Users\Kaveri\Downloads\Assignment 2\react-native-videos\react-native-video\examples\exampletvOS\android\app\src\main\java\com\exampletvos\MainApplication.java,com.exampletvos.MainApplication$Anonymous1,anonymous,2,2,0,2,5,1,0,1,10,0.0,0.0,0.0,5,0,1,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,18,5,0,0,0,0,2,0,1,0,1,0,0,0,0,19,-1,0,,,,,,,,,,False
